f (Hz),u[f] (Hz),V0,u[V0]
50,0.000288675134594813,4.38,0.00288675134594813
100,0.000288675134594813,4.2,0.00288675134594813
150,0.000288675134594813,3.98,0.00288675134594813
200,0.000288675134594813,3.7,0.00288675134594813
250,0.000288675134594813,3.44,0.00288675134594813
300,0.000288675134594813,3.14,0.00288675134594813
350,0.000288675134594813,2.93,0.00288675134594813
400,0.000288675134594813,2.71,0.00288675134594813
450,0.00300000000000011,2.53,0.00288675134594813
550,0.00875000000002046,2.18,0.00288675134594813
650,0.500499999999988,1.9,0.00288675134594813
850,5.92499999999998,1.52,0.00288675134594813
950,0.05,1.38,0.00288675134594813
1150,2.75,1.16,0.00288675134594813
1350,5.75,0.988,0.000288675134594813
750,0.000288675134594813,1.7,0.000288675134594813
20,0.000288675134594813,4.41,0.000288675134594813
30,0.0005,4.41,0.000288675134594813
